opinion_id,author,recommendation,stars,content,pros,cons,useful,useless,post_date,purchase_date
17936431,m...i,Polecam,5/5,"Super express, pyszna kawka. Jeszcze wszystkich nie udało się spróbować. Duża różnorodność kaw. Pyszne. Bardzo czytelny. Polecam.","['duży wybór kaw', 'idealna pianka', 'łatwa obsługa', 'nie zauważyłam', 'szybkie czyszczenie']",[],1,0,2023-09-25 20:12:36,2023-08-26 15:43:19
15108714,Użytkownik Ceneo,Polecam,5/5,"Uwielbiam sprzęty, które są w stanie sprostać moim wymaganiom - ekspres jest idealny ze względu na ilość kaw jaką możemy zrobić - 16 kaw. 
Strzałem w 10 jest możliwość zrobienia dwóch kaw za jednym razem- zaoszczędzam czas. 
Spienione mleko w zewnętrznym pojemniku jest wręcz idealne spienione, tworzy jedwabną gładką piankę. Po spienieniu mleka jest jest mocny wyrzut gorącej pary przez co usuwa pozostałości z mleka z rurki.  Ekspres ma dodatkową zaletę możliwość używania kawy w ziarenkach jak również kawy mielonej- odpowiedni pojemnik dla każdej z kawy. Ekspres informuje o zbyt małej ilości wody do przygotowania napoju gorącego. 
Polecam z czystym sumieniem dla osób, które poszukują ekspresu jak również chcą wymienić na inny nowszy.","['idealna pianka', 'łatwa obsługa']",[],2,1,2021-10-21 13:05:56,
14891647,Użytkownik Ceneo,Polecam,5/5,"Najlepszy ekspres jaki dotychczas używałam. 14 rodzai napojów, możliwość stworzenia 6 indywidualnych profili na których możemy wg własnych upodobań personalizować każdą kawę(temp., moc, spienienie mleka, proporcje kawa:mleko) - moim zdaniem najlepsza opcja !!! Każdy dopasuje kawę pod siebie i stworzy swoją idealną. Jest również możliwość przyrządzenia 2 kaw Latte jednocześnie, opcja Coffee Maestro pozwala przyrządzić taką kawę jaką lubi się najbardziej. Teraz mam w domu swoją własną włoską kawiarnie!","['idealna pianka', 'łatwa obsługa']",[],1,2,2021-08-27 01:30:53,
15122092,Użytkownik Ceneo,Polecam,5/5,"Ekspres petarda. Robi przepyszne kawy. W jednym czasie można zaparzyć dwie kawki w tym latte. Pianka mleczna jak w najlepszej kawiarni. 
Zalety
-wygląd
-parzenie dwóch kaw jednocześnie
-personalizacja napojów we własnym profilu
-duży wybór kaw","['duży wybór kaw', 'idealna pianka', 'łatwa obsługa']",[],0,0,2021-10-25 11:46:36,
14871326,Użytkownik Ceneo,Polecam,5/5,"Jeśli chcesz przekonać zagorzałego wielbiciela parzonej kawy to ekspres Saeco GranAroma to strzał w dziesiątkę. U Nas w domu każdy znalazł swojego faworyta z pośród 16 kaw, a to wszystko dzięki możliwości dostosowania kawy do swoich upodobań ❤️","['idealna pianka', 'łatwa obsługa']",[],0,2,2021-08-22 07:55:55,
14907890,Użytkownik Ceneo,Polecam,5/5,"Ekspres do Kawy, jest solidnie wykonany i przede wszystkim potrafi przyrządzić przepyszne kawy.","['idealna pianka', 'łatwa obsługa']",[],0,1,2021-09-01 01:06:47,
15121967,Użytkownik Ceneo,Polecam,5/5,"Ekspres posiada ogromny wybór kaw, których właściwości (np. intensywność, ilość wody itp.) mogę dodatkowo modyfikować dzięki technologii Coffee Maestro. Jestem wielką miłośniczką kawy, dlatego ogromnie cieszy mnie to, że codziennie mogę pić inną kawę, zależnie od pory dnia, mojego humoru i tego, na co właśnie mam ochotę :) Ogromny plus za to, że urządzenie praktycznie czyści się samo! To wspaniała oszczędność czasu. Nie trzeba myć, mielić kawy, samemu spieniać mleka, a kawa zawsze wychodzi taka, jak lubię. Czego chcieć więcej?","['duży wybór kaw', 'idealna pianka', 'łatwa obsługa', 'szybkie czyszczenie']",[],0,0,2021-10-25 11:23:20,
15137109,Edyta,Polecam,5/5,Bardzo duży wybór jeśli chodzi o rodzaje kaw. Praktyczny pojemnik na mleko który można odpiąć i wsadzić do lodówki. Kawa wychodzi przepyszna a pianka idealnie kremowa. Bardzo duży plus za wbudowany młynek do kawy i pojemnik który zatrzymuje aromat ziaren. Ekspres jest bardzo praktyczny a jego obsługa bardzo intuicyjna. Jestem bardzo zadowolona,"['duży wybór kaw', 'idealna pianka', 'łatwa obsługa', 'szybkie czyszczenie']",[],0,0,2021-10-28 10:07:58,
15166350,Użytkownik Ceneo,Polecam,5/5,"Według mnie jest to doskonały ekspres pod każdym względem. Przepiękny design oraz wiele funkcji, pozwalających na dostosowanie napojów kawowych do swoich preferencji. Funkcja Latte Duo daje możliwość na jednoczesne zrobienie dwóch mlecznych kaw. Bardzo polecam, ekspres z pewnością zadowoli każdego!","['duży wybór kaw', 'idealna pianka', 'łatwa obsługa', 'szybkie czyszczenie']",[],0,0,2021-11-04 17:43:31,
16930789,b...z,Polecam,"4,5/5",Uważam że to bardzo trafny zakup,[],[],0,0,2022-12-26 23:18:54,2022-12-14 19:52:23
14846163,Użytkownik Ceneo,Polecam,5/5,Świetny ekspres. Można wybierać aż z 16 rodzai kaw i jeszcze każdą z nich indywidualnie dopasować do swoich upodobań. Obsługa ekspresu dla mnie bardzo intuicyjna. Duży plus za możliwość przygotowania dwóch kaw jednocześnie.,"['idealna pianka', 'łatwa obsługa']",['nie zauważyłam'],0,0,2021-08-16 13:44:59,
14877837,Użytkownik Ceneo,Polecam,5/5,"Co tu dużo pisać, kawa smakuje jak z najlepszej kawiarni. Urządzenie jest intuicyjne, praktycznie bezobsługowe. Do wyboru mamy aż 16 różnych rodzai kaw. Polecam!","['idealna pianka', 'łatwa obsługa', 'nie zauważyłam']",[],0,0,2021-08-24 13:29:20,
